REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,METHOD
NSW1,20/10/2021 0:00,7514.762167,45.10626871,ARIMA
NSW1,20/10/2021 0:30,7472.656511,41.1815716,ARIMA
NSW1,20/10/2021 1:00,7356.944398,46.32183243,ARIMA
NSW1,20/10/2021 1:30,7194.874588,46.71553338,ARIMA
NSW1,20/10/2021 2:00,6982.178026,45.13380009,ARIMA
NSW1,20/10/2021 2:30,6836.380389,39.78815861,ARIMA
NSW1,20/10/2021 3:00,6560.583662,40.0761851,ARIMA
NSW1,20/10/2021 3:30,6332.813035,38.94232712,ARIMA
NSW1,20/10/2021 4:00,6167.831459,37.88729575,ARIMA
NSW1,20/10/2021 4:30,6118.379921,39.20013433,ARIMA
NSW1,20/10/2021 5:00,6085.790318,40.48178506,ARIMA
NSW1,20/10/2021 5:30,6158.545234,42.42833973,ARIMA
NSW1,20/10/2021 6:00,6215.831884,42.17657705,ARIMA
NSW1,20/10/2021 6:30,6365.176232,42.20140262,ARIMA
NSW1,20/10/2021 7:00,6584.995946,47.55344663,ARIMA
NSW1,20/10/2021 7:30,6794.925797,104.0318148,ARIMA
NSW1,20/10/2021 8:00,7024.056917,146.9588613,ARIMA
NSW1,20/10/2021 8:30,7252.697876,54.62489566,ARIMA
NSW1,20/10/2021 9:00,7477.076129,46.86230721,ARIMA
NSW1,20/10/2021 9:30,7489.670634,41.50347639,ARIMA
NSW1,20/10/2021 10:00,7456.893425,40.43203345,ARIMA
NSW1,20/10/2021 10:30,7417.985594,36.44666579,ARIMA
NSW1,20/10/2021 11:00,7397.270833,38.02246717,ARIMA
NSW1,20/10/2021 11:30,7258.33032,37.96602998,ARIMA
NSW1,20/10/2021 12:00,7168.213498,38.82976522,ARIMA
NSW1,20/10/2021 12:30,7246.513033,39.12528427,ARIMA
NSW1,20/10/2021 13:00,7295.375587,38.03234222,ARIMA
NSW1,20/10/2021 13:30,7322.725298,37.53655822,ARIMA
NSW1,20/10/2021 14:00,7259.397262,36.6723784,ARIMA
NSW1,20/10/2021 14:30,7245.923601,36.78805449,ARIMA
NSW1,20/10/2021 15:00,7216.418661,36.88204856,ARIMA
NSW1,20/10/2021 15:30,7223.550906,35.8659283,ARIMA
NSW1,20/10/2021 16:00,7262.289266,37.32506065,ARIMA
NSW1,20/10/2021 16:30,7355.678309,38.12550081,ARIMA
NSW1,20/10/2021 17:00,7478.470866,39.89654339,ARIMA
NSW1,20/10/2021 17:30,7708.271743,55.64081072,ARIMA
NSW1,20/10/2021 18:00,7908.537443,108.0438565,ARIMA
NSW1,20/10/2021 18:30,8274.68021,67.90872711,ARIMA
NSW1,20/10/2021 19:00,8473.887495,185.7650234,ARIMA
NSW1,20/10/2021 19:30,8347.603178,142.4660691,ARIMA
NSW1,20/10/2021 20:00,8077.197681,60.049138,ARIMA
NSW1,20/10/2021 20:30,7912.379289,68.12552629,ARIMA
NSW1,20/10/2021 21:00,7797.786059,69.82731878,ARIMA
NSW1,20/10/2021 21:30,7676.897007,63.18323312,ARIMA
NSW1,20/10/2021 22:00,7558.467428,53.50225811,ARIMA
NSW1,20/10/2021 22:30,7459.814892,53.51101441,ARIMA
NSW1,20/10/2021 23:00,7483.316637,73.31807151,ARIMA
NSW1,20/10/2021 23:30,7414.280349,57.85524085,ARIMA
NSW1,21/10/2021 0:00,7333.745425,72.03531512,ARIMA
NSW1,21/10/2021 0:30,7211.857192,58.90991339,ARIMA
NSW1,21/10/2021 1:00,7086.43971,88.25844523,ARIMA
NSW1,21/10/2021 1:30,6942.055395,64.0099292,ARIMA
NSW1,21/10/2021 2:00,6748.908368,49.14216549,ARIMA
NSW1,21/10/2021 2:30,6580.932458,56.93654805,ARIMA
NSW1,21/10/2021 3:00,6357.738271,50.11831689,ARIMA
NSW1,21/10/2021 3:30,6173.978693,46.76346089,ARIMA
NSW1,21/10/2021 4:00,6074.618648,47.28890986,ARIMA
NSW1,21/10/2021 4:30,6023.721213,46.54919906,ARIMA
NSW1,21/10/2021 5:00,6009.123452,45.64502715,ARIMA
NSW1,21/10/2021 5:30,6027.767885,42.63961935,ARIMA
NSW1,21/10/2021 6:00,6078.375251,44.9287094,ARIMA
NSW1,21/10/2021 6:30,6134.902807,46.02298438,ARIMA
NSW1,21/10/2021 7:00,6373.779674,45.23744742,ARIMA
NSW1,21/10/2021 7:30,6479.710204,49.06357566,ARIMA
NSW1,21/10/2021 8:00,6547.922707,41.09724208,ARIMA
NSW1,21/10/2021 8:30,6589.763211,36.4982762,ARIMA
NSW1,21/10/2021 9:00,6568.825114,36.26814162,ARIMA
NSW1,21/10/2021 9:30,6505.506131,35.30920167,ARIMA
NSW1,21/10/2021 10:00,6433.616817,36.32374832,ARIMA
NSW1,21/10/2021 10:30,6282.361891,30.10042488,ARIMA
NSW1,21/10/2021 11:00,6093.700811,24.60325129,ARIMA
NSW1,21/10/2021 11:30,5875.828382,19.57860706,ARIMA
NSW1,21/10/2021 12:00,5645.651495,26.14028829,ARIMA
NSW1,21/10/2021 12:30,5617.909803,29.52629051,ARIMA
NSW1,21/10/2021 13:00,5606.266718,26.66690552,ARIMA
NSW1,21/10/2021 13:30,5560.345681,29.10316511,ARIMA
NSW1,21/10/2021 14:00,5625.774751,27.58195574,ARIMA
NSW1,21/10/2021 14:30,5719.030788,34.94389788,ARIMA
NSW1,21/10/2021 15:00,5836.912347,32.04475756,ARIMA
NSW1,21/10/2021 15:30,6002.159993,30.74848908,ARIMA
NSW1,21/10/2021 16:00,6251.67748,34.07400567,ARIMA
NSW1,21/10/2021 16:30,6600.666718,35.84600464,ARIMA
NSW1,21/10/2021 17:00,7020.353762,44.43406301,ARIMA
NSW1,21/10/2021 17:30,7430.885678,136.2246901,ARIMA
NSW1,21/10/2021 18:00,7861.783147,138.831172,ARIMA
NSW1,21/10/2021 18:30,8309.601379,54.18566105,ARIMA
NSW1,21/10/2021 19:00,8576.119218,92.03040162,ARIMA
NSW1,21/10/2021 19:30,8436.958226,78.2508461,ARIMA
NSW1,21/10/2021 20:00,8202.670878,210.9303394,ARIMA
NSW1,21/10/2021 20:30,7997.403066,177.9006544,ARIMA
NSW1,21/10/2021 21:00,7876.753997,196.563546,ARIMA
NSW1,21/10/2021 21:30,7718.662602,79.50718401,ARIMA
NSW1,21/10/2021 22:00,7576.144973,97.00811504,ARIMA
NSW1,21/10/2021 22:30,7439.627676,69.54366939,ARIMA
NSW1,21/10/2021 23:00,7390.923657,67.93174905,ARIMA
NSW1,21/10/2021 23:30,7270.057418,51.8651679,ARIMA
NSW1,22/10/2021 0:00,7154.644288,61.33934108,ARIMA
NSW1,22/10/2021 0:30,7060.124182,50.44160244,ARIMA
NSW1,22/10/2021 1:00,6906.339869,47.78403584,ARIMA
NSW1,22/10/2021 1:30,6796.303547,46.84273704,ARIMA
NSW1,22/10/2021 2:00,6643.825198,41.5316942,ARIMA
NSW1,22/10/2021 2:30,6490.757461,41.04249576,ARIMA
NSW1,22/10/2021 3:00,6349.977391,41.85942862,ARIMA
NSW1,22/10/2021 3:30,6200.273274,41.4368713,ARIMA
NSW1,22/10/2021 4:00,6089.49642,42.65235917,ARIMA
NSW1,22/10/2021 4:30,6096.937652,42.70507588,ARIMA
NSW1,22/10/2021 5:00,6152.015643,39.98610962,ARIMA
NSW1,22/10/2021 5:30,6315.84367,46.01907246,ARIMA
NSW1,22/10/2021 6:00,6605.717369,54.32301418,ARIMA
NSW1,22/10/2021 6:30,6854.907765,86.17968621,ARIMA
NSW1,22/10/2021 7:00,7401.759494,204.4913563,ARIMA
NSW1,22/10/2021 7:30,7732.870231,137.2235379,ARIMA
NSW1,22/10/2021 8:00,7892.522462,55.7316413,ARIMA
NSW1,22/10/2021 8:30,7838.676333,45.25387078,ARIMA
NSW1,22/10/2021 9:00,7689.231396,43.65010034,ARIMA
NSW1,22/10/2021 9:30,7458.637247,60.56523891,ARIMA
NSW1,22/10/2021 10:00,7139.752361,45.43403698,ARIMA
NSW1,22/10/2021 10:30,6916.014396,41.48400302,ARIMA
NSW1,22/10/2021 11:00,6654.930583,36.97526668,ARIMA
NSW1,22/10/2021 11:30,6518.454154,35.13546626,ARIMA
NSW1,22/10/2021 12:00,6359.09385,38.65764773,ARIMA
NSW1,22/10/2021 12:30,6335.33126,26.28595857,ARIMA
NSW1,22/10/2021 13:00,6329.781,35.29192316,ARIMA
NSW1,22/10/2021 13:30,6342.441033,39.8323418,ARIMA
NSW1,22/10/2021 14:00,6434.858555,36.04113355,ARIMA
NSW1,22/10/2021 14:30,6503.767494,36.66360555,ARIMA
NSW1,22/10/2021 15:00,6675.165281,36.32785267,ARIMA
NSW1,22/10/2021 15:30,6896.723161,40.94463292,ARIMA
NSW1,22/10/2021 16:00,7158.928417,37.14567939,ARIMA
NSW1,22/10/2021 16:30,7537.432115,52.54474608,ARIMA
NSW1,22/10/2021 17:00,7798.564724,58.92749896,ARIMA
NSW1,22/10/2021 17:30,8213.867093,168.3049916,ARIMA
NSW1,22/10/2021 18:00,8591.303661,138.8649202,ARIMA
NSW1,22/10/2021 18:30,9032.786731,145.2240266,ARIMA
NSW1,22/10/2021 19:00,9146.460971,2586.892993,ARIMA
NSW1,22/10/2021 19:30,9056.302684,47.69309855,ARIMA
NSW1,22/10/2021 20:00,8751.993821,67.68105591,ARIMA
NSW1,22/10/2021 20:30,8480.040851,55.95615773,ARIMA
NSW1,22/10/2021 21:00,8304.998073,52.57938568,ARIMA
NSW1,22/10/2021 21:30,8119.568908,47.82851511,ARIMA
NSW1,22/10/2021 22:00,7951.118062,55.05596635,ARIMA
NSW1,22/10/2021 22:30,7770.079688,47.02742268,ARIMA
NSW1,22/10/2021 23:00,7692.303867,50.90405672,ARIMA
NSW1,22/10/2021 23:30,7584.247376,49.59347721,ARIMA
NSW1,23/10/2021 0:00,7503.117703,47.23196885,ARIMA
NSW1,23/10/2021 0:30,7442.724919,47.13970206,ARIMA
NSW1,23/10/2021 1:00,7338.915188,47.16328639,ARIMA
NSW1,23/10/2021 1:30,7209.488403,44.43889189,ARIMA
NSW1,23/10/2021 2:00,6982.182189,43.84175182,ARIMA
NSW1,23/10/2021 2:30,6804.248112,43.72234488,ARIMA
NSW1,23/10/2021 3:00,6542.562235,43.73048798,ARIMA
NSW1,23/10/2021 3:30,6324.055764,43.66428364,ARIMA
NSW1,23/10/2021 4:00,6212.771633,43.5784432,ARIMA
NSW1,23/10/2021 4:30,6159.397186,43.64950968,ARIMA
NSW1,23/10/2021 5:00,6220.973639,43.65275186,ARIMA
NSW1,23/10/2021 5:30,6316.090708,43.65773986,ARIMA
NSW1,23/10/2021 6:00,6582.472553,43.63316045,ARIMA
NSW1,23/10/2021 6:30,6875.924799,43.48063994,ARIMA
NSW1,23/10/2021 7:00,7477.882023,45.81397177,ARIMA
NSW1,23/10/2021 7:30,7979.144839,46.54547128,ARIMA
NSW1,23/10/2021 8:00,8060.84425,45.09988939,ARIMA
NSW1,23/10/2021 8:30,7995.624448,44.40700956,ARIMA
NSW1,23/10/2021 9:00,7717.922334,43.35316479,ARIMA
NSW1,23/10/2021 9:30,7300.762502,43.8216003,ARIMA
NSW1,23/10/2021 10:00,7045.263457,43.33083591,ARIMA
NSW1,23/10/2021 10:30,6749.525034,42.94841622,ARIMA
NSW1,23/10/2021 11:00,6640.121701,43.59591677,ARIMA
NSW1,23/10/2021 11:30,6496.094277,43.24960964,ARIMA
NSW1,23/10/2021 12:00,6508.592328,43.69870729,ARIMA
NSW1,23/10/2021 12:30,6569.109096,44.03705133,ARIMA
NSW1,23/10/2021 13:00,6623.448796,43.85926653,ARIMA
NSW1,23/10/2021 13:30,6698.338263,43.41195587,ARIMA
NSW1,23/10/2021 14:00,6766.027088,43.42432139,ARIMA
NSW1,23/10/2021 14:30,6826.103699,43.36035038,ARIMA
NSW1,23/10/2021 15:00,6950.111698,43.51192997,ARIMA
NSW1,23/10/2021 15:30,6918.850837,40.99966986,ARIMA
NSW1,23/10/2021 16:00,7232.925826,44.07852959,ARIMA
NSW1,23/10/2021 16:30,7647.516042,43.9921636,ARIMA
NSW1,23/10/2021 17:00,7918.074078,43.88169051,ARIMA
