REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,METHOD
NSW1,1/01/2019 0:30,7457.58,66.95,TRADE,ARIMA
NSW1,1/01/2019 1:00,7243.21,69.33,TRADE,ARIMA
NSW1,1/01/2019 1:30,6918.55,72.8,TRADE,ARIMA
NSW1,1/01/2019 2:00,6676.58,70.31,TRADE,ARIMA
NSW1,1/01/2019 2:30,6513.24,66.98,TRADE,ARIMA
NSW1,1/01/2019 3:00,6400,63.87,TRADE,ARIMA
NSW1,1/01/2019 3:30,6317.4,62.2,TRADE,ARIMA
NSW1,1/01/2019 4:00,6242.08,50.22,TRADE,ARIMA
NSW1,1/01/2019 4:30,6229.28,53.75,TRADE,ARIMA
NSW1,1/01/2019 5:00,6198.13,50.29,TRADE,ARIMA
NSW1,1/01/2019 5:30,6241.44,47.59,TRADE,ARIMA
NSW1,1/01/2019 6:00,6290.89,48.63,TRADE,ARIMA
NSW1,1/01/2019 6:30,6415.2,53.17,TRADE,ARIMA
QLD1,1/04/2019 0:30,11432.565,120,TRADE,ARIMA
QLD1,1/04/2019 1:00,17148.8475,60,TRADE,ARIMA
QLD1,1/04/2019 1:30,25723.27125,72,TRADE,ARIMA
QLD1,1/04/2019 2:00,38584.90688,86.4,TRADE,ARIMA
QLD1,1/04/2019 2:30,57877.36031,103.68,TRADE,ARIMA
QLD1,1/04/2019 3:00,86816.04047,124.416,TRADE,ARIMA
QLD1,1/04/2019 3:30,130224.0607,149.2992,TRADE,ARIMA
QLD1,1/04/2019 4:00,86816.04047,174.1824,TRADE,ARIMA
QLD1,1/04/2019 4:30,17148.8475,99.0656,TRADE,ARIMA
QLD1,1/04/2019 5:00,260448.1214,123.9488,TRADE,ARIMA
QLD1,1/04/2019 5:30,303856.1416,148.832,TRADE,ARIMA
QLD1,1/04/2019 6:00,86816.04047,73.7152,TRADE,ARIMA
QLD1,1/04/2019 6:30,17148.8475,98.5984,TRADE,ARIMA
